state,year,dopen,population,presdemvoteshlag1,demmv,demvoteshlag1,demvoteshlag2,demvoteshfor1,demvoteshfor2,demwinprv1,demwinprv2,dmidterm,dpresdem
"Connecticut",1914,0,1233000,39.15937,-7.688561,,,46.23941,36.09757,,,1,1
"Connecticut",1916,0,1294000,39.15937,-3.923708,42.07694,,36.09757,45.46875,0,,0,1
"Connecticut",1922,0,1431000,33.02737,-6.86866,36.09757,46.23941,35.64121,45.59821,0,0,1,0
"Connecticut",1926,0,1531000,27.5257,-27.66806,45.46875,36.09757,45.59821,48.47606,0,0,1,0
"Connecticut",1928,1,1577000,27.5257,-8.256968,35.64121,45.46875,48.47606,51.74687,0,0,0,0
"Connecticut",1932,0,1637000,45.57479,.7324815,45.59821,35.64121,51.74687,39.80264,0,0,0,0
"Connecticut",1934,0,1650000,47.39819,3.493738,48.47606,45.59821,39.80264,53.15107,1,0,1,1
"Connecticut",1938,0,1684000,55.32305,-3.090575,51.74687,48.47606,53.15107,51.98764,1,1,1,1
"Connecticut",1944,0,1778000,53.43825,4.703456,53.15107,39.80264,40.66464,51.6783,1,0,0,1
"Connecticut",1952,0,2081000,47.9104,-8.119864,51.6783,40.66464,43.04777,57.4689,1,0,0,1
"Connecticut",1956,0,2316000,43.90978,-11.79481,44.36037,51.6783,57.4689,51.25474,0,1,0,0
"Connecticut",1958,0,2446000,36.26763,14.93781,43.04777,44.36037,51.25474,64.64426,0,0,1,0
"Connecticut",1962,1,2647000,53.73066,2.509484,57.4689,43.04777,64.64426,54.29116,1,0,1,1
"Connecticut",1964,0,2798000,53.73066,29.30639,51.25474,57.4689,54.29116,33.79245,1,1,0,1
"Connecticut",1968,0,2964000,67.806,8.585564,64.64426,51.25474,33.79245,63.67486,1,1,0,1
"Connecticut",1970,1,3032217,49.4782,-7.950765,54.29116,64.64426,63.67486,41.21774,1,1,1,0
"Connecticut",1974,0,3074047,40.12911,29.38149,33.79245,54.29116,41.21774,56.34152,0,1,1,0
"Connecticut",1976,0,3083335,40.12911,-16.50603,63.67486,33.79245,56.34152,46.06758,1,0,0,0
"Connecticut",1980,1,3107576,47.08382,13.42848,41.21774,63.67486,46.06758,64.7634,0,1,0,1
"Connecticut",1982,0,3139013,38.37773,-4.323086,56.34152,41.21774,64.7634,49.76444,1,0,1,0
